mold_name,model_number,release_name,color_description,release_year_start,release_year_end
American Quarter Horse Stallion,1728,"Cloud's Encore With American Quarter Horse Stallion, Mesteño's Mother, Rojo, Morgan Foal","cremello, white mane/tail, stripe and snip, shaded muzzle, four stockings",2015,2018
American Quarter Horse Stallion,5582,"Playful Pony Family With Haflinger Foal, Haflinger Mare","flaxen chestnut, blaze, rear stockings",2023,
American Quarter Horse Stallion,6146,Chico's Challenge Model and Book Set,bay,2012,2013
American Quarter Horse Stallion,8169,Leo,"orangey palomino, bald face, mane/tail same color as body, four socks, zodiac symbols are both sides of hip",2015,
American Quarter Horse Stallion,9124,2010 Games Commemorative Horse,"glossy shaded blue, lighter blue and red decals",2010,
American Quarter Horse Stallion,9160,American Quarter Horse Stallion,"bay, black points",2014,
American Quarter Horse Stallion,10233,Noreaster,glossy metallic teal blue with pearly white swirls,2024,
American Quarter Horse Stallion,61103,"Carole and Starlight Gift Set Saddle Club With doll, English tack, saddle pad",buckskin,2008,2011
American Quarter Horse Stallion,62034,Rock 'N Roll Forever,clear lavender with music theme decals,2016,
American Quarter Horse Stallion,62121,Hope 2021 Horse of the Year,black body with rainbow design,2021,
American Quarter Horse Stallion,97267,Sugar,"white, rainbow mane/tail, gold horn",2020,
American Quarter Horse Stallion,300331,"El Punto, Bay Blanket Appaloosa Stallion with Lunares, Leopard Appaloosa Foal With Morgan Foal",bay blanket,2014,
American Quarter Horse Stallion,300351,"Tashunka and Dakotah With American Quarter Horse Stallion, American Quarter Horse Foal",chestnut leopard,2016,
American Quarter Horse Stallion,300370,America's Wild Mustangs With Trotting Stock Horse Foal,"pearlescent light grey, darker grey lower legs",2019,2020
American Quarter Horse Stallion,703106,Rocky Road,black overo,2006,
American Quarter Horse Stallion,712350,Nova,"pearly coat with gold and rose pink shading, gold horn",2020,
American Quarter Horse Stallion,720115,Springtime Frolic Gift Set With American Quarter Horse Foal,palomino,2005,
American Quarter Horse Stallion,750102,"AQHA Hollywood Gold Family With American Quarter Horse Foal, American Quarter Horse Mare",dun,2007,
American Quarter Horse Stallion,750134,"Blackfoot, Dun Stallion and Thunderbolt, Spotted Colt With American Quarter Horse Foal",shaded dun,2006,
American Quarter Horse Stallion,750602,"AQHA Poco Bueno Family With American Quarter Horse Foal, American Quarter Horse Mare, American Quarter Horse Stallion","bay, black points",2007,
American Quarter Horse Stallion,750702,"AQHA Son O' Leo Family With American Quarter Horse Mare, American Quarter Horse Foal",chestnut,2007,
American Quarter Horse Stallion,750802,"AQHA Blue Gold Family With American Quarter Horse Mare, American Quarter Horse Foal",light dappled grey,2007,
American Quarter Horse Stallion,B-CS-10436,Screech,Glossy dark blue metallic pinto with owl markings and feather shaped blaze.,2025,
American Quarter Horse Stallion,B-FS-10229,"Playful Pony Family With Haflinger Foal, Haflinger Mare","flaxen chestnut, blaze, rear stockings",2025,
American Quarter Horse Stallion,BND-BK-25003,Sea Star and Playful Pony Family Book & Horse Set,"flaxen chestnut, blaze, rear stockings",2025,
American Saddlebred,1055,Saddlebred,"palomino, stripe",2023,2025
American Saddlebred,62058,Mason 2018 Horse of the Year,"grey, star, dark grey points",2018,
American Saddlebred,62221,90's Throwback,neon-colored leopard,2021,2022
American Saddlebred,97267,Rainbow,"purple, gold horn, rainbow mane/tail and hooves",2021,
American Saddlebred,712300,Salem,"bay with purple interference, feline inspired pinto markings, glow in the dark",2019,
American Saddlebred,712508,Nimbus,"light blue, glittery gold mane and tail, gold horn and hooves",2023,
American Saddlebred,B-FS-10383,Honor 2025 Hope of the Year,camouflage,2025,
Andalusian Foal,636,Fun Foal Gift Set With Mustang Foal,bay,1998,
Andalusian Foal,649,Fun Foals Gift Set With Mustang Foal,chestnut pinto,1999,
Andalusian Foal,661,Playful Foals Gift Set With Arabian Foal,dun pinto,2001,2002
Andalusian Foal,674,"Foals Gift Set With Arabian Foal, also with Mesteño the Foal",dark palomino,2003,2005
Andalusian Foal,683,"Colorful Gift Set With Quarter Horse Foal (2005), Rojo (2006)",brown leopard,2005,2006
Andalusian Foal,1225,"Cloud's Legacy With Andalusian Stallion, Mesteño's Mother, Mustang Foal",palomino,2003,2005
Andalusian Foal,1225,"Cloud's Legacy With Andalusian Stallion, Mesteño's Mother, American Quarter Horse Foal",palomino,2006,
Andalusian Foal,2005,"Precious Beauty Foal & Gift Set With Ginger, neck ribbons",bay blanket,1996,1997
Andalusian Foal,3060,"Classic Andalusian Family With Andalusian Mare, Andalusian Stallion","dark chestnut, most with four (sometimes vague) stockings, some with solid off foreleg",1979,1993
Andalusian Foal,3160,Proud Mare and Newborn Foal With Lady Roxanna,apricot dun,1993,
Andalusian Foal,3161,Proud Mare and Newborn Foal With Lady Roxanna,dark bay,1993,
Andalusian Foal,3346,"Hanoverian Family With Ginger, Keen",bay,1992,1993
Andalusian Foal,8906,Hanoverian Foal With blanket,bay,1996,
Andalusian Foal,8920,Name? With Mustang Foal,bay,1996,
Andalusian Foal,8926,Andalusian Foal,"dark chestnut, most with four (sometimes vague) stockings, some with solid off foreleg",1996,1997
Andalusian Foal,62004,Pinto Mare and Foal With Ginger,black overo,2005,2007
Andalusian Foal,62005,Appaloosa Mare and Dun Foal With Duchess,dun blanket,2006,2007
Andalusian Foal,490296,Classic Beauty Gift Set With Black Beauty,shaded smoke grey,1996,1997
Andalusian Foal,700294,"Spanish-Norman Family With Andalusian Stallion, Ginger",medium grey,1994,
Andalusian Foal,705498,"Classic Appaloosa 3-Piece Set With Black Beauty, Mustang Foal",black,1998,
Andalusian Foal,720101,Dark Palomino and Black Pinto Foals With Arabian Foal,dark palomino,2006,
Andalusian Foal,720101,Dark Palomino and Black Pinto Foals With Mesteño the Foal; replaced by Morgan Foal,dark palomino,2006,2008
Andalusian Foal,750026,Twister and Shadow With Sombra,grullo,2006,
Andalusian Foal,750145,"Shaman, Blood Bay and Yuma, Dun Foal With Mesteño",dun,2005,
Andalusian Foal,751104,"Spirit Kiger Mustang Family-Action With Andalusian Mare, Andalusian Stallion",buckskin,2002,
Andalusian Mare,289,Chaval With neck ribbon,"shaded red roan, darker version",1997,
Andalusian Mare,289,Chaval With neck ribbon,shaded red roan lighter version,1997,
Andalusian Mare,648,Buckskin Lusitano,buckskin,1999,2000
Andalusian Mare,657,Lusitano,golden chestnut palomino,2001,2006
Andalusian Mare,670,Bay Andalusian,dark bay,2003,
Andalusian Mare,3060,"Classic Andalusian Family With Andalusian Foal, Andalusian Stallion","dapple grey, four stockings (sometimes vague) or no stockings",1979,1993
Andalusian Mare,8925,Andalusian Mare,"dapple grey, four stockings (sometimes vague) or no stockings",1996,
Andalusian Mare,61009,"Classics Show Award Set With show blanket, halter, silver loving cup trophy and tricolor championship ribbon.",light shaded bay,2002,2005
Andalusian Mare,720100,Buckskin Lusitano Mare Replaced by Johar in 2007,buckskin,2006,
Andalusian Mare,751104,"Spirit Kiger Mustang Family-Action With Andalusian Foal, Andalusian Stallion",chestnut pinto,2002,
Andalusian Mare,1979,Sears Holiday CatalogSame as #3060,,,
Andalusian Mare,1984,Sears Holiday Catalog,,,
Andalusian Mare,1994,BreyerFest Live Auction (1 made),,,
Andalusian Stallion,610,Flicka with Cougar Set With Cougar,black,2006,2007
Andalusian Stallion,633,Bay Pinto,bay pinto,1998,
Andalusian Stallion,638,Classics Horse and Jump Set With green and white rail jump.,"black tobiano, white mane/tail, white muzzle",1998,
Andalusian Stallion,643,Black Stallion,"black, four socks",1999,2000
Andalusian Stallion,652,Buckskin Tobiano Pinto Stallion,buckskin tobiano,2001,2002
Andalusian Stallion,676,Dun Appaloosa,dun blanket,2003,2004
Andalusian Stallion,684,Red Roan Pinto,red roan pinto,2006,2008
Andalusian Stallion,1225,"Cloud's Legacy With Mesteño's Mother, Andalusian Foal, Mustang Foal",cremello,2003,2005
Andalusian Stallion,1225,"Cloud's Legacy With Mesteño's Mother, American Quarter Horse Foal, Andalusian Foal",cremello,2006,
Andalusian Stallion,1225,"Cloud's Legacy 4 Horse Set With Mesteño's Mother, American Quarter Horse Foal, Morgan Foal",cremello,2007,2014
Andalusian Stallion,3060,"Classic Andalusian Family With Andalusian Foal, Andalusian Mare",alabaster,1979,1993
Andalusian Stallion,8924,Andalusian Stallion,alabaster,1996,1997
Andalusian Stallion,10305,Hidalgo,chestnut pinto,2004,
Andalusian Stallion,430040,Palomino Andalusian Stallion,palomino,2024,
Andalusian Stallion,700294,"Spanish-Norman Family With Andalusian Foal, Ginger",red roan,1994,
Andalusian Stallion,720104,Dun Appaloosa,dun blanket,2006,
Andalusian Stallion,750205,"Panuhu, Spotted Mustang Stallion and Honego, Foal With Rojo.",bay blanket,2007,
Andalusian Stallion,751104,"Spirit Kiger Mustang Family, Action With Andalusian Foal, Andalusian Mare",buckskin,2002,
Arabian Foal,661,Playful Foals Gift Set With Andalusian Foal,palomino,2001,2002
Arabian Foal,674,Foals Gift Set With Andalusian Foal,black pinto,2003,2005
Arabian Foal,3055,"Classic Arabian Family With Arabian Mare, Arabian Stallion",light chestnut,1973,1991
Arabian Foal,3056,"Desert Arabian Family With Arabian Mare, Arabian Stallion",red bay,1992,1994
Arabian Foal,3057,"Bedouin Family Gift Set With Arabian Mare, Arabian Stallion",bay,1995,1996
Arabian Foal,3066,"Marguerite Henry's ""Our First Pony"" Gift Set With Mustang Foal, Shetland Pony",bay pinto,1987,1996
Arabian Foal,3097,Arabian Mare and Foal With Arabian Mare,dappled light bay,1997,1998
Arabian Foal,3162,Arabian Stallion & Frisky Foal Set With Sham,grey,1994,
Arabian Foal,3163,Arabian Stallion & Foal Gift Set With Sham,bay,1994,
Arabian Foal,3353,"Three Piece Family Gift Set With Mustang Stallion, Quarter Horse Mare. Replaced Mustang Foal (1998)",red dun,1999,
Arabian Foal,4000,Arabian Foal,alabaster,1973,1982
Arabian Foal,4000,Arabian Foal,"black, bald face",1973,1982
Arabian Foal,4000,Arabian Foal,"chestnut, most with bald face",1973,1982
Arabian Foal,4000,Arabian Foal,"chestnut, most with bald face, chalky",1973,1982
Arabian Foal,4000,Arabian Foal,palomino,1973,1982
Arabian Foal,4000,Arabian Foal,smoke grey,1973,1982
Arabian Foal,8911,"Arabian Family With Arabian Mare, Arabian Stallion",red bay,1996,1997
Arabian Foal,21058,"Classic Arabian Family With Arabian Mare, Arabian Stallion","dark red bay, solid, bald, or star face",1984,1985
Arabian Foal,62003,Arabian Mare and Foal With Johar,dark bay,2005,
Arabian Foal,62005,Appaloosa Mare and Dun Foal With Duchess (Later replaced by Andalusian Foal and then Morgan Foal),dun blanket,2005,
Arabian Foal,403755,"Foal's First Day With Johar, tin pail",shaded chestnut,1988,
Arabian Foal,413255,"Classic Arabian Family With Arabian Mare, Arabian Stallion",dappled grey,1987,1988
Arabian Foal,413550,Foal's First Day With Johar,shaded chestnut,1988,
Arabian Foal,700693,"Drinkers of the Wind With Arabian Stallion, Johar","rose grey, off hind stocking",1993,
Arabian Foal,702297,"Pinto Family, Freedom, Independence, and Liberty With Black Beauty, Ginger",black pinto,1997,
Arabian Foal,712162,Julien and Sophia With Arabian Stallion,"bay tobiano, extended star, black mane/tail",2015,
Arabian Foal,713055,"Classic Collector's Arab Family Set With Arabian Mare, Arabian Stallion","black, most with solid face, some with snip",1990,
Arabian Foal,720101,"Dark Palomino and Black Pinto Foals With Andalusian Foal, replaced by Mesteño the Foal",black pinto,2006,
Arabian Mare,3055,"Classic Arabian Family With Arabian Foal, Arabian Stallion",chestnut,1973,1991
Arabian Mare,3056,"Desert Arabian Family With Arabian Foal, Arabian Stallion",bay,1992,1994
Arabian Mare,3057,"Bedouin Family Gift Set With Arabian Foal, Arabian Stallion",black,1995,1996
Arabian Mare,3097,Arabian Mare and Foal With Arabian Foal,dappled bay,1997,1998
Arabian Mare,8911,"Arabian Family With Arabian Foal, Arabian Stallion",black,1996,1997
Arabian Mare,21058,"Classic Arabian Family With Arabian Foal, Arabian Mare, Arabian Stallion",rose alabaster,1984,1985
Arabian Mare,62003,Arabian Mare and Foal With Arabian Foal (Later replaced by Johar),light red roan,2005,
Arabian Mare,413255,"Classic Arabian Family With Arabian Foal, Arabian Stallion",dappled grey,1987,1988
Arabian Mare,700795,Buckaroo and Skeeter With Stormy,buckskin,1995,
Arabian Mare,711997,Cosette,chestnut pinto,2014,
Arabian Mare,713055,"Classic Collector's Arab Family Set With Arabian Foal, Arabian Stallion",black,1990,
Arabian Mare,B-FS-10451,Ariana - Pink Perfection 4-Ever Friends Gift Set,"silver bay, star",2025,
Arabian Stallion,662,Arabian Stallion,liver chestnut,2001,2002
Arabian Stallion,679,Arabian Stallion Later replaced by Black Beauty,red roan,2004,2005
Arabian Stallion,2007,"Tyler and Hillary, B-Ranch Gift Set With doll",chestnut pinto,1997,
Arabian Stallion,3055,"Classic Arabian Family With Arabian Foal, Arabian Mare",sorrel,1973,1991
Arabian Stallion,3055,"Classic Arabian Family With Arabian Foal, Arabian Mare",sorrel with star (variation),1973,1991
Arabian Stallion,3056,"Desert Arabian Family With Arabian Foal, Arabian Mare",red bay,1992,1994
Arabian Stallion,3057,"Bedouin Family Gift Set With Arabian Foal, Arabian Mare",bay,1995,1996
Arabian Stallion,8911,"Arabian Family With Arabian Mare, Arabian Foal",red bay,1996,1997
Arabian Stallion,10011,Zayn,"glossy dappled bay, star, snip, socks (left front, right hind)",2024,
Arabian Stallion,10011,Zayn,chestnut sabino rabicano,2024,
Arabian Stallion,10011,Zayn,"fleabitten grey on chestnut, bloody shoulder",2024,
Arabian Stallion,21058,"Classic Arabian Family With Arabian Foal, Arabian Mare, Arabian Stallion",light bay,1984,1985
Arabian Stallion,413255,"Classic Arabian Family With Arabian Foal, Arabian Mare",dappled grey,1987,1988
Arabian Stallion,700693,"Drinkers of the Wind With Arabian Foal, Johar",grey,1993,
Arabian Stallion,712162,Julien and Sophia With Arabian Foal,"bay tobiano, blaze, snip, black/white mane, black tail",2015,
Arabian Stallion,713055,"Classic Collector's Arab Family Set With Arabian Foal, Arabian Mare",black,1990,
Craft Kit Horse,4103,"Model Horse Customizing Kit With acrylic paints, brushes, mohair, and instructions. no mane, abbreviated tailbone.","unpainted, tailbone only",2001,2003
Craft Kit Horse,4115,"My Dream Horse Customizing Kit With acrylic paints, brushes, mohair, and instructions. no mane, abbreviated tailbone.","unpainted, tailbone only",2005,2018
Cutting Horse,1254,Smart Little Lena With Cutting Calf,"chestnut, blaze, hind stockings",2004,
Cutting Horse,1436,"Spirit of the West With Cutting Calf, Border Collie",buckskin blanket,2011,2013
Cutting Horse,3297,Cutting Horse and Cow With Cutting Calf,buckskin,1997,1999
Cutting Horse,3355,Cutting Horse and Cow With Cutting Calf,matte grullo paint,2000,2001
Cutting Horse,3355,Cutting Horse and Cow With Cutting Calf,semi-glossy grullo paint,2000,2001
Cutting Horse,61091,Cutting Horse and Calf With Cutting Calf,"bay, blaze, black points, near fore and off hind socks",2015,2018
Fighting Mesteño,4811,"The Challenger - Gift Set, Mesteño and Sombra With Sombra","dark buckskin, dorsal stripe",1994,1997
Fighting Mesteño,701195,"The Challenger - Gift Set, Mesteño and Sombra With Sombra","dark buckskin, dorsal stripe",1995,
Fighting Mesteño,703795,"The Challenger - Gift Set, Mesteño and Sombra With Sombra","dark buckskin, dorsal stripe",1995,
Fighting Mesteño,710694,"The Challenger - Gift Set With Sombra, ""The Challenger"" print by Rowland Cheney","dark buckskin, dorsal stripe",1994,
Fighting Mesteño,750101,Rufo and Diablo With Cougar,bay roan,2001,
Fighting Mesteño,750201,Azul and Fausto With Cougar,blue roan,2001,
Fighting Mesteño,750214,"Grey Thunder, Rearing Grey Appaloosa Stallion and Cedar, Chestnut Appaloosa Foal With Mesteño the Foal","dark grey blanket, blaze and snip, black points, hind socks",2008,
Foal,619,Colorful Foals With Trotting Stock Horse Foal,chestnut blanket,2009,2011
Foal,626,Prancing Foals With Morgan Foal,red roan,2008,
Foal,680,Fun Foals Gift Set With Mesteño the Foal,liver chestnut tobiano,2005,2008
Foal,1225,"Cloud's Legacy With Andalusian Foal, Andalusian Stallion, Mesteño's Mother","grulla, star, leg barring, dorsal stripe",2006,
Foal,1225,"Cloud's Legacy 4 Horse Set With Andalusian Stallion, Mesteño's Mother, Morgan Foal","grulla, star, leg barring, dorsal stripe",2007,2014
Foal,1808,"""Cloud's Encore"" Cloud's Legend With Rearing Stallion, Morgan Foal, Warmblood Foal",light palomino,2019,2020
Foal,61087,"A Champion is Born - Three Horse Arabian Set With Black Stallion, Johar, American Quarter Horse Foal","buckskin, black points, near hind and off fore socks, off hind coronet",2015,2016
Foal,62003,Arabian Mare and Foal With Johar,dark bay,2005,2007
Foal,62032,Black Blanket Appaloosa and Leopard Appaloosa Foal With Johar,grey leopard,2010,2013
Foal,62045,"Palomino Morgan and Foal With Stock Horse Gelding,","palomino, white mane/tail",2017,2019
Foal,62206,Zoe and Xander Unicorns With Warmblood Foal,light gold-ish green,2019,2021
Foal,62208,Racing the Wind With Running Thoroughbred,"chestnut, flaxen mane/tail",2020,
Foal,300318,"Desert Rose, Dun Pinto Mare, with Azure, Blue Roan Colt With Mesteño's Mother","blue roan, star",2012,
Foal,300322,Outlaw and Amigo With Bucking Bronco,red dun,2013,
Foal,300351,"Tashunka and Dakotah With American Quarter Horse Stallion, American Quarter Horse Foal",grey leopard,2016,
Foal,300362,America's Wild Mustangs With Charging Mesteño,palomino blanket,2018,
Foal,301176,Wild and Free With Rearing Mustang,black w/ blaze and 4 stockings,2022,2024
Foal,701728,"Visiting Vet Gift Set With Johar, Calico Cat, Silver Tabby, Beagle","black leopard, light grey mane/tail, knees, hocks",2014,2015
Foal,711994,"Poncho and Champ With blue stars blanket, Trotting Stock Horse Foal","palomino, white points, bald face",2014,
Foal,712163,Kasper and Jack With Trotting Stock Horse Foal,"blue with white ""ghost"" pattern",2015,
Foal,720115,Springtime Frolic Gift Set With American Quarter Horse Stallion,palomino,2005,
Foal,720692,No Name With Morgan Foal,buckskin,2007,
Foal,750102,"AQHA Hollywood Gold Family With American Quarter Horse Mare, American Quarter Horse Stallion",dun,2007,
Foal,750134,"Blackfoot, Dun Stallion and Thunderbolt, Spotted Colt With American Quarter Horse Stallion",bay blanket,2005,
Foal,750136,"Aguila, Dun Pinto Stallion, and Muraco, Grullo Pinto Colt With Black Beauty",dun pinto,2006,
Foal,750212,"Sedona, Sabino Pinto Mare, and Tucson, Bay Foal With Ginger or Mesteño's Mother",bay,2008,
Foal,750602,"AQHA Poco Bueno Family With American Quarter Horse Foal, American Quarter Horse Mare, American Quarter Horse Stallion",grulla,2007,
Foal,750702,"AQHA Son O' Leo Family With American Quarter Horse Stallion, American Quarter Horse Mare",dark bay,2007,
Foal,750802,"AQHA Blue Gold Family With American Quarter Horse Stallion, American Quarter Horse Mare",dark grey,2007,
Foal,755482,Black Blanket Appaloosa and Leopard Appaloosa Foal With Johar,black blanket,2012,
Man O' War,252,Pepe,"light chestnut, darker chestnut mane/tail, four stockings",1991,1992
Man O' War,258,King,"dark mahogany brown or black, black points, near hind stocking",1993,1994
Man O' War,264,Apache With neck ribbon,"pale grulla, blaze, grey points",1995,1996
Man O' War,288,Tumbleweed With neck ribbon,"light bay, black mane/tail",1997,
Man O' War,602,Man O' War,"red chestnut, broken stripe or star, darker chestnut mane/tail",1975,1990
Man O' War,6124,"Classic Thoroughreds With Kelso, Man O' War, Swaps","red chestnut, broken stripe or star, darker chestnut mane/tail",1975,
Man O' War,9149,Man O' War,"matte and semi-glossy red chestnut, darker chestnut mane/tail",2017,2018
Man O' War,9149BKSET,Man O' War Model & Book Set With paperback book,"matte and semi-glossy red chestnut, darker chestnut mane/tail",2017,2018
Man O' War,406254,"""Affirmed"" Triple Crown Winners Set II With Swaps, Terrang","chestnut, long star, no stockings",1988,
Man O' War,500301,"Classic Racehorse 3-Piece Set With Silky Sullivan, Terrang","shaded grey, lighter grey mane/tail",2001,
Man O' War,710601,"Classic Racing Thoroughbreds With Kelso, Silky Sullivan","buckskin, chocolate brown points",2001,
Man O' War,710601,"Classic Racing Thoroughbreds With Kelso, Silky Sullivan","dun, black points, partial dorsal stripe",2001,
Man O' War,712302,Lancelot,blue decorator,2019,
Man O' War,712302,Lancelot,"glossy palomino, broken blaze, white mane/tail, off hind sock",2019,
Man O' War,712302,Lancelot,"bay semi-leopard, black points, near hind sock",2019,
Man O' War,712475,Secretariat,"glossy chestnut, star stripe, three stockings",2023,
Man O' War,712475,Secretariat,"glossy gold charm, star stripe, three stockings",2023,
Man O' War,750333,Seabiscuit and War Admiral With Terrang,"dark bay, black points, no white",2003,
Morgan Stallion,1005,"Bitsy Breyer and Morgan Horse Stallion With doll, plastic saddle, bridle, and comb","dark/medium bay, no white markings, black mane/tail, black or bay lower legs",1984,1987
Morgan Stallion,1005,"Bitsy Breyer and Morgan Horse Stallion With doll, plastic saddle, bridle, and comb","black, solid face, black mane/tail, near hind stocking",1984,1987
Morgan Stallion,1005,"Bitsy Breyer and Morgan Horse Stallion With doll, plastic saddle, bridle, and comb","dark/medium chestnut, no white markings, dark brown mane/tail",1984,1987
Morgan Stallion,1018,"Pepper and Lisa With doll, plastic English tack, comb","dapple grey, solid face, black points",1994,1998
Morgan Stallion,1024,Delilah,"palomino, solid face, white points",1995,1998
Morgan Stallion,1602,Morgan,"buckskin, dark brown points, four stockings",1999,2000
Morgan Stallion,1608,"Show Morgan With doll, plastic English tack",dapple grey,1999,2000
Morgan Stallion,1619,"English Pleasure Horse & Rider Set With doll, brown plastic English tack","chestnut, shaded muzzle, mane/tail same shade as body or slightly lighter, four stockings",2001,2002
Morgan Stallion,1622,"Western Games Horse & Rider Set Includes doll, plastic Western tack","blue roan, darker face, black points",2001,2004
Morgan Stallion,1636,Morgan,"chestnut, solid face, lighter chestnut mane/tail, shaded knees, four faint stockings",2003,2005
Morgan Stallion,1641,"English Show Horse and Rider Gift Set With doll, plastic English tack","bay, black points, four socks",2005,2006
Morgan Stallion,4135,"Learn to Draw Horses Activity Set With colored and graphite pencils, drawing and tracing paper and stencil sheet.","grey, shaded muzzle, white mane/tail",2008,2014
Morgan Stallion,4135,"Learn to Draw Horses Activity Set With colored and graphite pencils, drawing and tracing paper and stencil sheet.","dapple grey, shaded muzzle, white mane/tail",2008,2014
Morgan Stallion,9005,Morgan Horse Stallion,"dark/medium bay, no white markings, black mane/tail, black or bay lower legs, black hooves",1984,1988
Morgan Stallion,9005,Morgan Horse Stallion,"dark/medium chestnut, no white markings, dark brown mane/tail",1984,1988
Morgan Stallion,9005,Morgan Horse Stallion,"black, solid face, black mane/tail, near hind stocking",1984,1988
Morgan Stallion,9050,Morgan Stallion,"golden sorrel/palomino, solid face, flaxen mane/tail, four stockings, grey hooves",1989,1994
Morgan Stallion,9950,"Bitsy Breyer Stable Set With carrying case, doll, plastic tack, comb, 3 sections of fence","dark/medium bay, no white markings, black mane/tail, black or bay lower legs",1986,1987
Morgan Stallion,711090,"Breyer Parade of Breeds Collector's Assortment III With American Saddlebred, Arabian Stallion, Clydesdale, Quarter Horse Stallion, Thoroughbred Stallion","medium bay, solid face, black points, hind stockings",1990,
Morgan Stallion,713267,"Breyer Parade of Breeds With American Saddlebred, Arabian Stallion, Quarter Horse Stallion, Thoroughbred Stallion","dark shaded bay, no white markings, black points, medium to light grey hooves",1988,
Morgan Stallion,719051,"Breyer Parade of Breeds Collector's Assortment II With American Saddlebred, Arabian Stallion, Clydesdale, Quarter Horse Stallion, Thoroughbred Stallion","rose chestnut, solid face, darker chestnut mane/tail, four stockings",1989,
Morgan Stallion,720018,Morgan/Buckskin,"buckskin, black points, four stockings",2006,
Morgan Stallion,760184,"Pine Hollow Stables Deluxe Playset With Arabian Stallion, Morgan Stallion, Thoroughbred Stallion","dun, blaze, dark brown points",2008,
Morgan Stallion,905093G,Little Bits Morgan Stallion 1993 Breakfast Special,"light sandy bay, solid face, black points, hind stockings",1993,
Quarter Horse Foal,658,Colorful Foals Gift Set With Mustang Foal,"black leopard, grey and white mane/tail",2001,2002
Quarter Horse Foal,673,Colorful Foals Gift Set With Mustang Foal,"chestnut overo, bald face, chestnut mane/tail, near fore and off hind stockings",2004,2005
Quarter Horse Foal,683,"Colorful Foals Gift Set With Andalusian Foal, replaced by Rojo in 2006","dark dun, leg barring, dorsal stripe, black points",2005,
Quarter Horse Foal,683,"Colorful Foals Gift Set With Andalusian Foal, replaced by Rojo in 2006","bay, black points, no leg barring or dorsal stripe",2005,
Quarter Horse Foal,3045,"Quarter Horse Family With Quarter Horse Mare, Quarter Horse Stallion","bay, most with solid face, black points, four stockings",1974,1993
Quarter Horse Foal,4001,Quarter Horse Foal,"bay, most with solid face, black points, four stockings",1975,1982
Quarter Horse Foal,4001,Quarter Horse Foal,"black, bald face or (rarely) solid face, black mane/tail, four stockings",1975,1982
Quarter Horse Foal,4001,Quarter Horse Foal,"chestnut, bald face, somewhat lighter or darker chestnut mane/tail, four stockings",1975,1982
Quarter Horse Foal,4001,Quarter Horse Foal,"palomino, light palomino mane/tail, four stockings",1975,1982
Quarter Horse Foal,21061,"Collector's Edition Appaloosa Family With Quarter Horse Foal, Quarter Horse Mare","chestnut blanket, solid face, darker chestnut mane/tail",1986,
Quarter Horse Foal,410194,"Denver and Blaze With Kelso, hang tag","dark bay, blaze, black points",1993,
Quarter Horse Foal,410194,Denver and Blaze,,,
Quarter Horse Foal,712211,"""Kit"" Classics Paint Horse Family With Quarter Horse Stallion, Quarter Horse Mare, Quarter Horse Foal",grullo overo,2017,
Quarter Horse Foal,716091,"Breyer Quarter Horse Family With Quarter Horse Mare, Quarter Horse Stallion","alabaster, grey mane/tail",1991,
Quarter Horse Foal,750502,Dapple Grey Mare and Bay Foal With Johar,"red bay, blaze, black points, near hind stocking",2003,
Quarter Horse Mare,3045,"Quarter Horse Family With Quarter Horse Foal, Quarter Horse Stallion","bay, most with solid face, black points, most with three stockings (not off fore)",1974,1993
